No.,Trigpoint Name,TP:UK Reference & Link,Trig Type,Condition,Height (m),Grid Ref
1036,Standing Stones,TP6154,Pillar,Good,143.3,NX9914618090
1037,Standing Stone,TP6153,Pillar,Good,134.1,NX6438052701
1038,Standedge,TP6152,Pillar,Damaged,448.6,SE0123610415
1039,Stanbury Point,TP6151,Pillar,Good,0.0,SS2681527383
1040,Stanage Edge,TP6150,Pillar,Good,457.5,SK2509483017
1041,Stamfords Hill,TP6149,Pillar,Good,44.6,TQ8821098102
1042,Stairfoot Lane,TP6148,Pillar,Good,161.2,SE2844240574
1043,Stainburn Hill,TP6146,Pillar,Good,128.3,SE3310948375
1044,Stagpark Farm,TP6145,Pillar,Slightly damaged,89.4,SU9616825822
1045,Stagbury Hill,TP6144,Pillar,Good,60.5,SU2862416043
1046,Stagborough Hill,TP6143,Pillar,Good,124.2,SO7889072161
1047,Staffa,TP6142,Pillar,Good,42.1,NM3237035118
1048,Staerough Hill,TP6141,Pillar,Good,331.6,NT8287427185
1049,Staddon Fort,TP6140,Pillar,Good,125.0,SX4967751827
1050,Stackpole,TP6139,Pillar,Good,82.8,SR9984196579
1051,Stac Gorm,TP6138,Pillar,Good,430.4,NH6304127322
1052,St Whites Farm,TP6137,Pillar,Good,237.1,SO6594912913
1053,St Stephens Hill,TP6136,Pillar,Good,124.8,SK0569822809
1054,St Rayn Hill,TP6135,Pillar,Good,238.4,ST3995909812
1055,St Ninians Isle,TP6134,Pillar,Good,59.4,HU3612421892
1056,St Marys Resr Paignton,TP6133,Pillar,Good,108.3,SX8781261835
1057,St Mary Hill,TP6132,Pillar,Slightly damaged,0.0,SS9629379166
1058,St Kilda,TP6131,Pillar,Good,0.0,NA0997000034
1059,St Johns Hill,TP6130,Pillar,Good,43.6,HY6352828765
1060,St John,TP6129,Pillar,Good,117.2,SX4056753024
1061,St Georges Hill,TP6128,Pillar,Good,73.8,TQ0855562629
1062,St Catherines Hill Isle Of Wight,TP6127,Pillar,Good,236.1,SZ4938577299
1063,St Catherines Hill Bosley Heath,TP6126,Pillar,Good,45.5,SZ1466695143
1064,St Breock Downs,TP6125,Pillar,Slightly damaged,216.1,SW9675768212
1065,St Blanes Hill,TP6124,Pillar,Good,123.6,NS0959152683
1066,St Bellarmins Tor,TP6123,Pillar,Good,268.5,SX1301870908
1067,St Aylotts,TP6122,Pillar,Good,0.0,TL5751439378
1068,St Anns,TP6121,Pillar,Slightly damaged,214.4,SX4197171030
1069,St Albans Head,TP6120,Pillar,Good,107.9,SY9678075741
1070,Srondoire,TP6119,Pillar,Good,259.7,NR8519678178
1071,Sron Ruail (Canna),TP6118,Pillar,Good,129.5,NG2084204526
1072,Sron Reithe,TP6117,Pillar,Good,386.5,NN0651910623
1073,Sron Na Muic,TP6116,Pillar,Good,476.1,NH4136715702
1074,Sron A Ghoirtein,TP6115,Pillar,Good,395.0,NB0166911223
1075,Sron A' Chleirich,TP6114,Pillar,Damaged,816.6,NN7840776900
1076,Sron A' Chaoineidh,TP6113,Pillar,Damaged,868.1,NN7733836754
1077,Squirrel Mills,TP6112,Pillar,Good,0.0,TR2146454139
1078,Squirrel,TP6111,Pillar,Good,81.9,SY0092483603
1079,Square Covert,TP6110,Pillar,Good,46.4,TL9291784682
1080,Spy Rigg,TP6109,Pillar,Good,313.3,NY6888575859
1081,Springfield,TP6108,Pillar,Good,161.9,SJ8093239334
1082,Springfield,TP6107,Pillar,Good,299.5,NS6538346844
1083,Spring Farm,TP6106,Pillar,Slightly damaged,155.3,SP4295444110
1084,Spring Barn,TP6105,Pillar,Good,68.9,TQ4011309085
1085,Spring Banks,TP6104,Pillar,Good,149.1,TF1779989823
1086,Sponds Hill,TP6103,Pillar,Good,410.7,SJ9700180294
1087,Spittalridding Hill,TP6102,Pillar,Slightly damaged,49.7,NY1814968445
1088,Spittal Hill,TP6101,Pillar,Slightly damaged,74.3,NS6719459423
1089,Spitewinter,TP6100,Pillar,Good,318.4,SK3385866566
1090,Spital Hill,TP6099,Pillar,Good,176.1,ND1677755643
1091,Spire Farm,TP6098,Pillar,Slightly damaged,294.2,SD6801346655
1092,Spion Kop,TP6097,Pillar,Good,283.3,SD7478851887
1093,Spettisbury Ring,TP6096,Pillar,Good,81.2,ST9143701894
1094,Speireag,TP6095,Pillar,Good,195.7,NG3699531380
1095,Speinne Mor,TP6094,Pillar,Good,444.7,NM4994049829
1096,Spaunton,TP6093,Pillar,Good,345.6,SE7017994913
1097,Spartleton,TP6092,Pillar,Good,0.0,NT6532365546
1098,Sparrow Court,TP6091,Pillar,Good,106.3,TR0951335520
1099,Spa Farm,TP6090,Pillar,Slightly damaged,85.3,SP9962295260
1100,Southover Heath,TP6087,Pillar,Good,95.4,SY7892492254
1101,Southfield Bank,TP6085,Pillar,Good,16.0,SD1246580425
1102,Southerness,TP6084,Pillar,Remains,14.6,NX9713154242
1103,Souther Hill,TP6083,Pillar,Good,245.7,HU3964266730
1104,Southend Hill,TP6082,Pillar,Good,140.5,SP9194516599
1105,Southend,TP6081,Pillar,Good,188.0,SU7555490023
1106,Southdean Law,TP6079,Pillar,Good,300.2,NT6348809377
1107,South Wold,TP6078,Pillar,Good,246.2,SE8209156974
1108,South Ronaldsay,TP6077,Pillar,Good,119.2,ND4554188650
1109,South Pourie,TP6076,Pillar,Good,150.9,NO4239534911
1110,South Onthank,TP6075,Pillar,Slightly damaged,82.0,NS4245040186
1111,South Nab,TP6074,Pillar,Good,460.9,SE1562900319
1112,South Mains,TP6073,Pillar,Good,105.8,NS5375074071
1113,South Langston,TP6072,Pillar,Good,145.3,SX6557648653
1114,South Heighton,TP6071,Pillar,Good,74.3,TQ4591202396
1115,South Hanningfield,TP6070,Pillar,Good,79.0,TQ7422797243
1116,South Forty,TP6069,Pillar,Good,7.7,TF2494043563
1117,South Croxton,TP6068,Pillar,Moved,125.6,SK6893710648
1118,South Clettraval,TP6067,Pillar,Good,133.2,NF7494871650
1119,South Carlton,TP6066,Pillar,Good,69.7,SK9582676166
1120,South Bodney,TP6065,Pillar,Slightly damaged,45.5,TL8475698924
1121,South Bockhampton,TP6064,Pillar,Good,10.2,SZ1738995111
1122,South Barrule,TP6063,Pillar,Good,483.7,SC2576875920
1123,South Barn,TP6062,Pillar,Good,125.0,SZ0123977631
1124,Sourton Tors,TP6061,Pillar,Slightly damaged,440.4,SX5432489818
1125,Sough Top,TP6060,Pillar,Good,438.6,SK1333070896
1126,Soroba,TP6059,Pillar,Good,148.7,NM8682728181
1127,Sorn Castle Golf Course,TP6058,Pillar,Slightly damaged,170.9,NS5407826693
1128,Sordale Hill,TP6057,Pillar,Good,109.7,ND1571961979
1129,Somerton Castle,TP6056,Pillar,Good,15.9,SK9532258639
1130,Solva,TP6055,Pillar,Good,95.4,SM8021924850
1131,Solsbury Hill,TP6054,Pillar,Good,188.5,ST7678467788
1132,Soles Hill,TP6053,Pillar,Good,354.9,SK0979452505
1133,Soil Hill Connecting Point,TP6052,Pillar,Good,399.1,SE0785831456
1134,Socknersh Manor,TP6050,Pillar,Good,93.8,TQ6976023506
1135,Soberton Heath,TP6049,Pillar,Good,72.8,SU6072413799
1136,Sober Hill,TP6048,Pillar,Good,144.7,SE9286038737
1137,Soay,TP6047,Pillar,Good,141.7,NG4620715493
1138,Soar,TP6046,Pillar,Good,376.7,SN9814432313
1139,Snows Lodge,TP6045,Pillar,Good,108.6,SK6391906648
1140,Snowford,TP6044,Pillar,Moved,104.3,SP3851566341
1141,Snowdon Summit,TP6043,Pillar,Good,1086.0,SH6098654375
1142,Snowdon Hill,TP6042,Pillar,Good,219.0,ST3083909124
1143,Snow Hill,TP6041,Pillar,Good,93.5,TL6108326061
1144,Sneugie,TP6040,Pillar,Good,219.5,HU3889062970
1145,Snettisham Resr,TP6039,Pillar,Good,66.3,TF7186034372
1146,Snetterton,TP6038,Pillar,Moved,47.2,TM0021990877
1147,Snape,TP6037,Pillar,Good,159.3,SE3086350058
1148,Snailsden,TP6036,Pillar,Damaged,475.7,SE1319803311
1149,Snaefell,TP6035,Pillar,Good,620.9,SC3977088086
1150,Smeaton Farm,TP6034,Pillar,Damaged,65.1,NZ3527004183
1151,Smearsett Scar,TP6033,Pillar,Good,363.3,SD8024867805
1152,Smarts Hill,TP6032,Pillar,Good,103.3,TQ5134542253
1153,Smallage,TP6030,Pillar,Good,0.0,SK4454886376
1154,Small Down Knoll,TP6029,Pillar,Good,222.1,ST6651740609
1155,Smailholm,TP6028,Pillar,Good,207.5,NT6354834526
1156,Slough Hill,TP6027,Pillar,Damaged,433.1,NS8474317334
1157,Slogarie,TP6026,Pillar,Good,255.7,NX6382567752
1158,Sloe Farm,TP6025,Pillar,Slightly damaged,78.9,TM0389154521
1159,Slipper Low,TP6024,Pillar,Good,368.5,SK2270156897
1160,Slioch,TP6023,Pillar,Damaged,980.2,NH0049868873
1161,Slieau Ruy,TP6022,Pillar,Good,478.8,SC3282282347
1162,Slieau Freoaghane,TP6021,Pillar,Good,488.3,SC3408588359
1163,Slickconerie,TP6020,Pillar,Slightly damaged,214.0,NX1568170659
1164,Sliabh Gaoil,TP6019,Pillar,Good,562.1,NR8187674228
1165,Sletill Hill,TP6018,Pillar,Good,280.3,NC9293346528
1166,Sleights Moor,TP6017,Pillar,Good,289.4,NZ8548004872
1167,Sledge Green,TP6016,Pillar,Good,43.5,SO8203534097
1168,Slawston Hill,TP6015,Pillar,Good,131.1,SP7831494098
1169,Slacks Of Cairnbanno,TP6014,Pillar,Good,122.4,NJ8500346320
1170,Slacks Hill,TP6013,Pillar,Toppled,35.2,SK8704466508
1171,Slack Hall,TP6012,Pillar,Good,303.0,SD9599305807
1172,Skybir Mountain,TP6011,Pillar,Slightly damaged,232.3,SM9658630430
1173,Skridan,TP6010,Pillar,Good,445.9,NG3437626722
1174,Skomer Island,TP6009,Pillar,Good,79.4,SM7269309459
1175,Skitteridge Wood,TP6008,Pillar,Good,111.9,SK3123936851
1176,Skirrid Fawr,TP6007,Pillar,Good,486.6,SO3311318277
1177,Skippers Hall,TP6006,Pillar,Good,122.3,TL6318849931
1178,Skipness Hill,TP6005,Pillar,Good,254.5,NR9053060072
1179,Skiplam,TP6004,Pillar,Good,296.7,SE6335790737
1180,Skinners Green Farm,TP6003,Pillar,Slightly damaged,125.3,SU4514165154
1181,Skilts,TP6002,Pillar,Good,164.4,SP0939667232
1182,Skiddaw,TP6001,Pillar,Good,931.2,NY2604129086
1183,Skid Hill,TP6000,Pillar,Good,186.3,NT5073076437
1184,Sker Farm,TP5999,Pillar,Good,28.0,SS8064078603
1185,Skenchill,TP5998,Pillar,Good,234.8,SO4831518353
1186,Skelmuir Hill,TP5997,Pillar,Good,149.0,NJ9860541438
1187,Skelfhill Pen,TP5996,Pillar,Good,532.5,NT4415903099
1188,Skelberry,TP5995,Pillar,Good,196.6,HU3534788123
1189,Skeffington,TP5994,Pillar,Good,203.8,SK7536902021
1190,Six Hills,TP5993,Pillar,Slightly damaged,133.8,SK6411521049
1191,Sithean Mor,TP5992,Pillar,Slightly damaged,225.2,NG8113671537
1192,Sithean Mor,TP5991,Pillar,Good,599.5,NM7288686598
1193,Sithean Mor,TP5990,Pillar,Slightly damaged,190.2,ND1837343738
1194,Sithean A'Mhill,TP5989,Pillar,Slightly damaged,222.8,NG7844562270
1195,Siss Cross,TP5988,Pillar,Good,268.2,NZ6989310942
1196,Sish Lane,TP5987,Pillar,Good,135.9,TL2484125147
1197,Sir William Hill,TP5986,Pillar,Good,429.2,SK2153877891
1198,Sinton Farm,TP5985,Pillar,Good,69.9,SO8543763317
1199,Sinniness,TP5984,Pillar,Good,76.2,NX2277051772
1200,Simons Seat,TP5983,Pillar,Slightly damaged,485.2,SE0789159808
1201,Simon Howe,TP5982,Pillar,Good,260.3,SE8312298196
1202,Silverstone,TP5981,Pillar,Good,151.7,SP6707042436
1203,Silvercraigs,TP5980,Pillar,Good,59.4,NR8936984568
1204,Silt Lane Farm,TP5978,Pillar,Good,5.5,TF2940447393
1205,Sillyearn Wood,TP5977,Pillar,Good,228.9,NJ5106952565
1206,Silk Hill,TP5976,Pillar,Slightly damaged,143.2,SU1851646883
1207,Sigingstone Resr,TP5975,Pillar,Good,96.6,SS9696872253
1208,Side Hill,TP5974,Pillar,Good,175.3,NS3384569592
1209,Sidbury,TP5973,Pillar,Good,187.8,SU2120950811
1210,Sian Llwyd,TP5972,Pillar,Good,648.6,SH9958531382
1211,Shuttocks Hill,TP5971,Pillar,Good,113.7,SO5002864933
1212,Shutlingsloe,TP5970,Pillar,Good,506.0,SJ9764569574
1213,Shute Hill,TP5969,Pillar,Good,163.7,SY2559297803
1214,Shropshire Bank,TP5968,Pillar,Damaged,98.2,SJ5958942712
1215,Shripney Bersted,TP5967,Pillar,Good,3.8,SU9301602298
1216,Shray Hill,TP5966,Pillar,Slightly damaged,79.1,SJ6592919544
1217,Shrawardine Resr,TP5965,Pillar,Slightly damaged,97.2,SJ4023515174
1218,Shoulsbarrow Common,TP5964,Pillar,Good,473.7,SS7067439168
1219,Shotley Hall Farm,TP5962,Pillar,Good,27.4,TM2331536487
1220,Shortwood,TP5961,Pillar,Good,162.6,SJ7964636529
1221,Shoreswood,TP5960,Pillar,Good,91.8,NT9355046271
1222,Shoremill,TP5959,Pillar,Good,5.4,NH7499265702
1223,Shootash,TP5958,Pillar,Good,79.1,SU3139821945
1224,Shoostran,TP5957,Pillar,Good,86.3,HU3011741634
1225,Shobdon Hill,TP5956,Pillar,Good,305.4,SO3786664011
1226,Shirlett Common,TP5955,Pillar,Good,203.1,SO6536097318
1227,Shirlah Pike,TP5954,Pillar,Good,308.2,NU1005203917
1228,Shirehampton Golf Course,TP5953,Pillar,Good,60.5,ST5392476859
1229,Shipton Hill,TP5951,Pillar,Good,170.3,SY5074192139
1230,Shining Tor,TP5950,Pillar,Good,559.3,SJ9946373739
1231,Shingham Heath,TP5949,Pillar,Good,43.9,TF7803506288
1232,Shilstone Hill,TP5948,Pillar,Good,405.2,SS7598345918
1233,Shilling Stone Hill,TP5947,Pillar,Good,223.7,ST8236109456
1234,Shillhope Law,TP5946,Pillar,Good,501.4,NT8731009677
1235,Shill Moor,TP5945,Pillar,Good,528.8,NT9439715311
1236,Shielhill,TP5944,Pillar,Good,44.7,NK0779952585
1237,Shiel Hill,TP5943,Pillar,Good,506.0,NX4176794529
1238,Shiel Hill,TP5942,Pillar,Damaged,485.9,NS7869816704
1239,Sherington,TP5941,Pillar,Good,95.7,SP8856647713
1240,Sheriffs Park,TP5940,Pillar,Good,254.2,NY5577521241
1241,Sheriffs Lench Farm,TP5939,Pillar,Good,123.1,SP0160748243
1242,Shepherdskirk Hill,TP5937,Pillar,Good,202.1,NU0455838341
1243,Shepherds Hill,TP5936,Pillar,Good,41.8,SZ4375092200
1244,Shepeau,TP5935,Pillar,Good,2.2,TF3179812123
1245,Shenlow Hill,TP5934,Pillar,Good,227.6,SP3553642723
1246,Shendley Hill Farm,TP5933,Pillar,Good,200.7,SP0162281035
1247,Shelvock,TP5932,Pillar,Good,131.5,SJ3690123712
1248,Shelton Bar,TP5931,Pillar,Good,0.0,SJ8696948499
1249,Shellwood,TP5930,Pillar,Good,83.1,TQ2036345817
1250,Shelleys,TP5929,Pillar,Good,32.8,TQ1851413613
1251,Shelfield Farm,TP5928,Pillar,Slightly damaged,338.4,SD8942737314
1252,Sheepclose Farm,TP5926,Pillar,Good,73.8,SE6752865704
1253,Sheen Hill,TP5925,Pillar,Good,380.4,SK1105562539
1254,Sheeans,TP5924,Pillar,Slightly damaged,373.7,NR9989432817
1255,Sheaval,TP5923,Pillar,Good,223.4,NF7666327057
1256,Shean Harry,TP5922,Pillar,Good,231.0,NC9472658779
1257,Shaws Hill,TP5921,Pillar,Good,202.8,NY0191981756
1258,Shaw Craig,TP5920,Pillar,Good,300.5,NT6732709517
1259,Shaugh Moor,TP5919,Pillar,Good,304.6,SX5589363212
1260,Sharpes Farm,TP5918,Pillar,Good,67.1,SU3617825690
1261,Sharpenhurst Hill Resr,TP5917,Pillar,Good,86.4,TQ1380528189
1262,Sharpah,TP5916,Pillar,Slightly damaged,357.2,SD9594855270
1263,Sharlston,TP5915,Pillar,Moved,85.0,SE3912518565
1264,Shapwick Hill,TP5914,Pillar,Good,181.9,SY3038693151
1265,Shapwick,TP5913,Pillar,Good,98.4,ST3867338155
1266,Shannoch,TP5912,Pillar,Good,185.3,NO0162031154
1267,Shammer House,TP5911,Pillar,Good,67.0,TF8285538638
1268,Shalloch On Minnoch,TP5910,Pillar,Slightly damaged,769.9,NX4046190701
1269,Shakespeare Cliff,TP5909,Pillar,Good,0.0,TR3000539489
1270,Shaftoe Crags,TP5908,Pillar,Good,212.9,NZ0510381887
1271,Shadwell Hill,TP5907,Pillar,Good,495.9,SO2012486555
1272,Shacklesborough,TP5905,Pillar,Good,454.2,NY9086517059
1273,Sgurr Nan Eugallt,TP5904,Pillar,Damaged,894.6,NG9308004493
1274,Sgurr Nan Coireachan,TP5903,Pillar,Good,956.2,NM9029088012
1275,Sgurr Nan Clach Geala,TP5902,Pillar,Good,1093.3,NH1843771489
1276,Sgurr Na Lapaich,TP5901,Pillar,Good,0.0,NH1608735122
1277,Sgurr Na H-Eanchainne,TP5900,Pillar,Good,730.3,NM9963765845
1278,Sgurr Na Coinnich,TP5899,Pillar,Slightly damaged,739.1,NG7624522258
1279,Sgurr Na Ciche,TP5898,Pillar,Remains,1040.3,NM9021796683
1280,Sgurr Na Bana Mhoraire,TP5897,Pillar,Damaged,687.3,NG8701152655
1281,Sgurr Mor,TP5896,Pillar,Remains,614.2,NG8717208138
1282,Sgurr Marcasaidh,TP5895,Pillar,Good,581.3,NH3540559273
1283,Sgurr Dhomhnuill,TP5894,Pillar,Slightly damaged,888.5,NM8895867885
1284,Sgurr An Fhuarain,TP5893,Pillar,Good,901.6,NM9873997981
1285,Sgurr An Airgid,TP5892,Pillar,Damaged,841.3,NG9402022711
1286,Sgurr A Choire Ghlais,TP5891,Pillar,Good,0.0,NH2588343018
1287,Sgurr A,TP5890,Pillar,Damaged,0.0,NH0875044736
1288,Sgurr A' Bhuic,TP5889,Pillar,Good,569.1,NM8335850301
1289,Sguman Coinntich,TP5888,Pillar,Damaged,0.0,NG9770430367
1290,Sgribhis-Bheinn,TP5887,Pillar,Slightly damaged,370.9,NC3193071352
1291,Sgreadan Hill,TP5886,Pillar,Slightly damaged,397.2,NR7411429561
1292,Sgorach Breac,TP5885,Pillar,Good,299.1,NG6516713208
1293,Sgor Nam Fiannaidh,TP5884,Pillar,Damaged,967.4,NN1404358305
1294,Sgor Dubh,TP5883,Pillar,Damaged,741.6,NO0337792098
1295,Sgarbh Dubh,TP5882,Pillar,Good,294.7,NR3704175427
1296,Sgarbh Breac,TP5881,Pillar,Good,364.5,NR4062376627
1297,Sgairneach Moor,TP5880,Pillar,Good,991.5,NN5988173129
1298,Sexys Farm,TP5879,Pillar,Good,59.1,SY8480585704
1299,Sewingshields Crags,TP5878,Pillar,Good,325.5,NY8002170047
1300,Sewage Farm,TP5877,Pillar,Good,20.7,SK6353142520
1301,Severalls Farm,TP5876,Pillar,Good,71.0,TL9218038000
1302,Seventy Acre Farm,TP5875,Pillar,Good,93.4,SP9313574712
1303,Settrington,TP5874,Pillar,Slightly damaged,198.8,SE8667170586
1304,Selsdon Park,TP5873,Pillar,Good,164.0,TQ3475961831
1305,Sellindge,TP5872,Pillar,Good,86.3,TR0943539307
1306,Sellet Hall,TP5871,Pillar,Good,117.0,SD6027777252
1307,Sell Moor,TP5870,Pillar,Good,424.0,NT4803344470
1308,Selkirk Common,TP5869,Pillar,Good,296.3,NT4912827609
1309,Selattyn,TP5867,Pillar,Good,371.9,SJ2558734111
1310,Seggarsdean,TP5866,Pillar,Good,83.5,NT5338772887
1311,See Morris Hill,TP5865,Pillar,Good,240.2,NX9029277957
1312,Sedgecombe Farm,TP5864,Pillar,Good,192.3,SP1629637175
1313,Seatallan,TP5863,Pillar,Good,692.2,NY1396108402
1314,Seat Hill,TP5862,Pillar,Good,362.1,NT0359351891
1315,Seascale,TP5861,Pillar,Good,41.3,NY0357201763
1316,Seabridge,TP5859,Pillar,Good,161.8,SJ8401043251
1317,Scudders Hill,TP5858,Pillar,Good,110.1,TQ5900467570
1318,Scrub Lane,TP5857,Pillar,Good,18.3,TF4079682175
1319,Scridles,TP5855,Pillar,Good,305.6,SD7537748078
1320,Scrae Field,TP5854,Pillar,Good,216.1,HU4179036148
1321,Scout Hill,TP5853,Pillar,Good,285.0,SD5643382607
1322,Scout Head,TP5852,Pillar,Good,215.7,NS7350893127
1323,Scousburgh,TP5851,Pillar,Good,262.9,HU3879118803
1324,Scott Hall,TP5850,Pillar,Good,106.1,SE3005436382
1325,Scordabach,TP5849,Pillar,Good,113.4,HP5098803761
1326,Scone Aerodrome,TP5848,Pillar,Good,118.0,NO1544728830
1327,Scolty,TP5847,Pillar,Good,299.9,NO6786793949
1328,Scollan,TP5846,Pillar,Good,106.7,HU2541556271
1329,Scobbiscombe,TP5845,Pillar,Good,115.6,SX6253446733
1330,Schrog Hill,TP5844,Pillar,Slightly damaged,89.9,SK7458881722
1331,Schichallion,TP5842,Pillar,Remains,1083.0,NN7139554755
1332,Sceugh Head,TP5841,Pillar,Good,187.0,NY4426642629
1333,Scene Farm,TP5840,Pillar,Good,96.8,TR1728335565
1334,Scaut Hill,TP5839,Pillar,Good,606.3,NJ3356331501
1335,Scarp,TP5838,Pillar,Good,308.8,NA9685815829
1336,Scarness,TP5837,Pillar,Good,91.4,NY2214430784
1337,Scarborough Road Resr,TP5836,Pillar,Good,107.7,TA1650871313
1338,Scarborough Hill,TP5835,Pillar,Good,15.6,TA3479724274
1339,Scaraben,TP5834,Pillar,Slightly damaged,626.7,ND0660726839
1340,Scalla Field,TP5833,Pillar,Good,281.3,HU3893257260
1341,Scales Moor,TP5832,Pillar,Good,258.6,NY5783943463
1342,Scalaval,TP5831,Pillar,Good,260.0,NB1425319841
1343,Scadson,TP5830,Pillar,Good,121.0,SX8869363277
1344,Scadghill Farm,TP5829,Pillar,Good,154.1,SS2204409984
1345,Sca Fell,TP5828,Pillar,Good,977.5,NY2154007217
1346,Saxavord,TP5826,Pillar,Good,284.6,HP6312116623
1347,Sawtry Top Lodge,TP5825,Pillar,Slightly damaged,57.3,TL1494684168
1348,Sawley Grange Farm,TP5824,Pillar,Good,152.8,SD7896046778
1349,Saughtree Fell,TP5823,Pillar,Good,434.6,NY5618099030
1350,Saugh Hill,TP5822,Pillar,Good,293.8,NX2121897397
1351,Sauchie Crag,TP5821,Pillar,Good,266.1,NS7607388820
1352,Saucel Hill,TP5820,Pillar,Damaged,42.6,NS4851063305
1353,Sasunnaich,TP5819,Pillar,Good,38.4,NG7221525953
1354,Sartfield,TP5818,Pillar,Good,39.3,SC3493299093
1355,Saredon Hill,TP5817,Pillar,Good,154.1,SJ9483907822
1356,Sapperton,TP5816,Pillar,Good,199.0,SO9548303298
1357,Sannox,TP5815,Pillar,Good,224.3,NS0035847745
1358,Sandy Lane,TP5814,Pillar,Good,103.4,SJ8299363191
1359,Sandy Hill,TP5812,Pillar,Damaged,359.4,SE1651875512
1360,Sandwell Park Golf Course,TP5811,Pillar,Good,174.5,SP0246790678
1361,Sandtoft,TP5810,Pillar,Good,4.2,SE7428807931
1362,Sands Of Forvie,TP5809,Pillar,Good,57.3,NK0228227822
1363,Sandonbank,TP5808,Pillar,Moved,0.0,SJ9387127402
1364,Sandness,TP5807,Pillar,Slightly damaged,249.3,HU1917155722
1365,Sandlands,TP5806,Pillar,Good,36.3,SE7801778877
1366,Sandiacre,TP5805,Pillar,Good,133.2,SK4587537322
1367,Sandhurst Hill,TP5804,Pillar,Slightly damaged,86.7,SO8385124682
1368,Sandbriggs,TP5802,Pillar,Slightly damaged,132.8,NJ8956652228
1369,Sandavig,TP5801,Pillar,Good,16.5,NF8268243186
1370,Sanda Island,TP5800,Pillar,Good,123.4,NR7301604352
1371,Sand Field,TP5799,Pillar,Good,133.5,HU3211748346
1372,Sand Edge Common,TP5798,Pillar,Good,353.0,NZ0772640416
1373,Saltcot Hills,TP5795,Pillar,Good,10.4,NY0534365161
1374,Salta,TP5794,Pillar,Good,21.5,NY0820845431
1375,Salt Hill Resr,TP5793,Pillar,Good,234.4,SU6752419758
1376,Salle,TP5792,Pillar,Good,45.6,TM3586066257
1377,Salehurst,TP5791,Pillar,Good,139.2,TQ4843139143
1378,Salcey Forest,TP5790,Pillar,Good,129.9,SP7877551934
1379,Sailors Folly,TP5789,Pillar,Good,249.7,SO5497903070
1380,Sail Hill,TP5788,Pillar,Good,258.9,SE1723783055
1381,Saighdeir,TP5787,Pillar,Good,303.0,NM9719215236
1382,Saddleworth,TP5786,Pillar,Slightly damaged,454.7,SE0207606964
1383,Ryers Down,TP5785,Pillar,Good,0.0,SS4574992130
1384,Ryehills,TP5784,Pillar,Good,154.8,NY3502378676
1385,Rye Loaf,TP5783,Pillar,Good,546.8,SD8642163313
1386,Rye Hill,TP5782,Pillar,Converted,58.3,SK4623034527
1387,Rye,TP5781,Pillar,Moved,31.9,SE9476880818
1388,Rydonball Resr,TP5780,Pillar,Good,129.8,SX8458069118
1389,Rydon Hill,TP5779,Pillar,Good,87.0,ST0925442539
1390,Ryders Hill,TP5778,Pillar,Good,515.7,SX6597769063
1391,Rushy Hill,TP5777,Pillar,Damaged,377.4,SD7356923640
1392,Rushtons Height,TP5776,Pillar,Good,323.9,SD7157920946
1393,Rushington,TP5775,Pillar,Good,18.8,SU3533012319
1394,Rumbleton Law,TP5773,Pillar,Good,238.8,NT6723345689
1395,Rulkies Hill,TP5772,Pillar,Good,115.2,HU4425492802
1396,Rueval,TP5771,Pillar,Good,124.9,NF8252553367
1397,Rudland,TP5769,Pillar,Good,376.1,SE6499195481
1398,Rudha Quidnish,TP5768,Pillar,Good,0.0,NG1007386622
1399,Rudha Na Fearn,TP5767,Pillar,Good,37.2,NG7226461144
1400,Rudha Na Breige,TP5766,Pillar,Good,96.9,NC0620219131
1401,Rudha Ardvule,TP5765,Pillar,Good,7.4,NF7095529943
1402,Rudha An Tuir,TP5764,Pillar,Good,96.6,NC8960665596
1403,Rubers Law,TP5763,Pillar,Good,424.6,NT5803115573
1404,Ruardean Hill Resr,TP5762,Pillar,Good,290.3,SO6350816890
1405,Ruadh Stac Mor,TP5761,Pillar,Damaged,918.7,NH0185275662
1406,Ruabon Mountain South,TP5760,Pillar,Good,502.8,SJ2364245710
1407,Ru Na Gavern,TP5759,Pillar,Slightly damaged,58.6,NG8156889495
1408,Roys Hill,TP5758,Pillar,Good,516.0,NJ1422240640
1409,Royl Field,TP5757,Pillar,Good,293.5,HU3959428518
1410,Royal Oak,TP5754,Pillar,Good,156.8,SU2178225205
1411,Rowleys Hill,TP5753,Pillar,Good,50.5,TL4268349711
1412,Roundthorn,TP5752,Pillar,Good,232.8,NY5389531170
1413,Roundhay Farm,TP5751,Pillar,Moved,0.0,SP8682856990
1414,Roundabout,TP5750,Pillar,Good,189.4,SE1827018840
1415,Round Top,TP5749,Pillar,Good,324.9,NY7169776646
1416,Round Hill,TP5748,Pillar,Good,141.0,SP1099062479
1417,Round Hill,TP5747,Pillar,Good,48.9,SO8438330751
1418,Round Fell,TP5746,Pillar,Good,403.6,NX5323672334
1419,Round Berry,TP5745,Pillar,Good,113.9,SK2743903527
1420,Roughside Moor,TP5744,Pillar,Good,384.0,NY9916250258
1421,Rothisholm,TP5743,Pillar,Good,41.8,HY6177621645
1422,Rothesay Golf Course,TP5742,Pillar,Good,128.6,NS0993664420
1423,Ross Castle,TP5741,Pillar,Good,315.8,NU0811225327
1424,Rosley Resr,TP5740,Pillar,Good,140.6,NY3153345976
